maybe, definitely_not, false_positive
4 , 59696 , 0
4 , 59615 , 0
6 , 59829 , 0
16 , 59172 , 0
4 , 59698 , 0
4 , 59779 , 0
4 , 59779 , 0
2 , 59822 , 0
2 , 59822 , 0
2 , 59822 , 0
9 , 59496 , 0
3 , 59736 , 1
2 , 59822 , 0
15 , 59083 , 0
6 , 59518 , 0
4 , 59886 , 0
8 , 59452 , 0
2 , 59798 , 0
3 , 59821 , 1
2 , 59791 , 0
2 , 59737 , 0
4 , 59910 , 0
6 , 59795 , 0
4 , 59910 , 0
4 , 59628 , 0
2 , 59737 , 0
17 , 59239 , 0
8 , 59759 , 0
2 , 59695 , 0
3 , 59758 , 0
6 , 59553 , 0
4 , 59680 , 0
2 , 59695 , 0
4 , 59896 , 0
4 , 59848 , 0
4 , 59848 , 0
10 , 59406 , 0
8 , 59586 , 0
8 , 59610 , 0
10 , 59406 , 0
8 , 59586 , 0
6 , 59708 , 0
7 , 59789 , 1
4 , 59848 , 0
4 , 59848 , 0
2 , 59813 , 0
4 , 59822 , 0
7 , 59569 , 0
9 , 59845 , 0
4 , 59848 , 0
6 , 59790 , 0
6 , 59759 , 0
27 , 59643 , 0
18 , 59555 , 0
6 , 59764 , 0
2 , 59899 , 0
2 , 59854 , 0
10 , 59346 , 0
12 , 59643 , 0
2 , 59784 , 0
4 , 59608 , 0
3 , 59783 , 1
2 , 59854 , 0
2 , 59784 , 0
2 , 59784 , 0
2 , 59822 , 0
2 , 59822 , 0
2 , 59854 , 0
4 , 59782 , 0
26 , 58833 , 0
8 , 59795 , 0
10 , 59588 , 0
15 , 59443 , 0
5 , 59781 , 1
6 , 59500 , 0
6 , 59903 , 0
6 , 59903 , 0
6 , 59859 , 0
4 , 59967 , 0
6 , 59812 , 0
6 , 59812 , 0
8 , 59746 , 0
8 , 59794 , 0
6 , 59812 , 0
7 , 59811 , 1
7 , 59811 , 1
6 , 59812 , 0
26 , 58368 , 0
9 , 59734 , 1
10 , 59706 , 0
8 , 59464 , 0
8 , 59678 , 0
4 , 59967 , 0
6 , 59812 , 0
6 , 59812 , 0
6 , 59812 , 0
6 , 59812 , 0
4 , 59967 , 0
8 , 59631 , 0
13 , 59438 , 0
6 , 59627 , 0
6 , 59812 , 0
6 , 59812 , 0
6 , 59812 , 0
6 , 59812 , 0
6 , 59812 , 0
5 , 59781 , 1
6 , 59812 , 0
3 , 59790 , 1
7 , 59717 , 0
2 , 59791 , 0
3 , 59790 , 0
3 , 59790 , 0
2 , 59791 , 0
2 , 59791 , 0
2 , 59791 , 0
2 , 59791 , 0
2 , 59791 , 0
2 , 59791 , 0
2 , 59791 , 0
2 , 59791 , 0
2 , 59791 , 0
2 , 59791 , 0
5 , 59768 , 0
5 , 59808 , 1
6 , 59603 , 0
2 , 59719 , 0
4 , 59934 , 0
28 , 58021 , 0
3 , 59507 , 0
6 , 59858 , 0
21 , 58904 , 0
2 , 59774 , 0
4 , 59910 , 0
6 , 59795 , 0
4 , 59824 , 0
4 , 59824 , 0
4 , 59824 , 0
9 , 59655 , 0
14 , 59240 , 0
9 , 59527 , 1
5 , 59823 , 1
4 , 59824 , 0
4 , 59824 , 0
9 , 59655 , 0
64 , 58078 , 1
5 , 59847 , 0
6 , 59817 , 0
4 , 59848 , 0
17 , 59207 , 0
4 , 59848 , 0
14 , 59559 , 1
4 , 59736 , 0
4 , 59848 , 0
5 , 59847 , 1
5 , 59735 , 1
20 , 59480 , 1
2 , 59809 , 0
4 , 59684 , 0
4 , 59621 , 0
3 , 59736 , 1
17 , 59221 , 0
4 , 59724 , 0
5 , 59896 , 1
5 , 59896 , 1
11 , 59685 , 5
6 , 59771 , 0
9 , 59693 , 0
8 , 59587 , 0
4 , 59897 , 0
6 , 59702 , 0
6 , 59554 , 0
2 , 59822 , 0
3 , 59716 , 1
2 , 59809 , 0
2 , 59717 , 0
20 , 59096 , 0
10 , 59439 , 0
3 , 59821 , 1
2 , 59717 , 0
2 , 59717 , 0
2 , 59822 , 0
2 , 59717 , 0
17 , 59196 , 0
2 , 59832 , 0
2 , 59822 , 0
8 , 59593 , 0
2 , 59822 , 0
10 , 59549 , 0
4 , 59689 , 0
4 , 59882 , 0
3 , 59736 , 1
6 , 59714 , 0
8 , 59677 , 0
22 , 58811 , 0
12 , 59311 , 0
4 , 59808 , 0
6 , 59857 , 0
2 , 59865 , 0
4 , 59865 , 0
16 , 59362 , 1
14 , 59214 , 0
10 , 59662 , 0
6 , 59857 , 0
9 , 59680 , 0
2 , 59694 , 0
2 , 59694 , 0
3 , 59693 , 1
