maybe, definitely_not, false_positive
8 , 59293 , 2
5 , 59849 , 3
4 , 59712 , 0
26 , 60018 , 4
17 , 59642 , 12
9 , 59502 , 0
17 , 58442 , 0
12 , 58419 , 0
114 , 55496 , 19
12 , 59795 , 1
17 , 60445 , 3
9 , 59677 , 7
25 , 58753 , 21
85 , 54615 , 2
5 , 60113 , 2
6 , 59678 , 2
177 , 59329 , 168
19 , 60196 , 0
0 , 59896 , 0
28 , 58179 , 6
54 , 56913 , 3
13 , 59658 , 0
14 , 59025 , 0
101 , 57647 , 2
18 , 59184 , 0
18 , 59050 , 4
16 , 58506 , 1
108 , 59556 , 40
2 , 59711 , 0
4 , 59905 , 1
2 , 60009 , 0
63 , 59519 , 55
65 , 57840 , 6
6 , 59741 , 0
8 , 59538 , 5
6 , 59846 , 4
48 , 58276 , 0
48 , 57559 , 1
85 , 59977 , 5
8 , 59360 , 1
3 , 59781 , 0
45 , 59305 , 32
50 , 57594 , 14
56 , 59292 , 12
26 , 59077 , 11
21 , 59703 , 2
51 , 58430 , 3
11 , 58923 , 1
16 , 58950 , 0
20 , 59539 , 18
231 , 64002 , 33
44 , 58537 , 27
210 , 59393 , 207
121 , 57566 , 38
9 , 60635 , 3
10 , 60041 , 4
10 , 60116 , 1
20 , 57317 , 2
12 , 59778 , 7
23 , 59563 , 21
32 , 57558 , 0
8 , 59891 , 8
3 , 60244 , 0
